City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,tura,25.5198,90.2201,64.85,83,0,3.44,IN,1699838301
152,tancacha,-32.2431,-63.9807,58.86,27,0,12.53,AR,1699838301
153,port douglas,-16.4833,145.4667,78.08,68,82,11.81,AU,1699838301
154,el nido,11.1858,119.3956,84.56,73,96,15.03,PH,1699838301
155,klyuchi,52.2667,79.1667,40.73,84,99,11.07,RU,1699838301
156,ambodifotatra,-16.9833,49.85,76.33,72,33,2.59,MG,1699838301
157,ostroh,50.3294,26.5143,39.99,85,100,13.8,UA,1699838302
158,nar'yan-mar,67.6713,53.087,11.1,94,52,5.01,RU,1699838302
159,issia,6.4922,-6.5856,72.73,99,70,3.36,CI,1699838302
160,kulhudhuffushi,6.6221,73.07,81.82,76,96,5.88,MV,1699838302
161,bubaque,11.2833,-15.8333,82.81,67,4,10.6,GW,1699838302
162,mount pearl,47.5166,-52.7813,30.15,84,100,13.8,CA,1699838303
163,san antonio de pale,-1.4014,5.6325,79.2,83,27,13.04,GQ,1699838298
164,soe,-9.8607,124.284,84.9,34,10,4.88,ID,1699838303
165,pisco,-13.7,-76.2167,68.02,88,0,18.41,PE,1699838303
166,maun,-19.9833,23.4167,80.91,24,29,3.22,BW,1699838303
167,aykhal,66.0,111.5,8.49,95,100,9.48,RU,1699838303
168,kish,26.5578,54.0194,77.27,53,0,0.0,IR,1699838304
169,saipan,15.1355,145.701,88.5,66,40,17.27,MP,1699838304
170,horta,38.5333,-28.6333,63.01,90,100,1.99,PT,1699838304
171,lihue,21.9789,-159.3672,83.44,73,40,19.57,US,1699838304
172,kingston,17.997,-76.7936,86.95,66,20,12.66,JM,1699838304
173,tikapur,28.5,81.1333,60.17,64,0,3.91,NP,1699838304
174,belyy yar,53.6039,91.3903,17.49,93,100,2.24,RU,1699838305
175,bathsheba,13.2167,-59.5167,83.01,83,40,21.85,BB,1699838305
176,meitingen,48.55,10.85,45.97,100,100,3.44,DE,1699838305
